split,class,file,width,height,channels,file_size_kb
Training,glioma,Tr-gl_917.jpg,512,512,1,21.853515625
Training,glioma,Tr-gl_1203.jpg,512,512,1,20.4599609375
Training,glioma,Tr-gl_1044.jpg,512,512,1,24.416015625
Training,glioma,Tr-gl_245.jpg,512,512,1,19.6298828125
Training,glioma,Tr-gl_19.jpg,512,512,3,18.9794921875
Training,glioma,Tr-gl_15.jpg,512,512,1,23.0244140625
Training,glioma,Tr-gl_1255.jpg,512,512,3,24.8955078125
Training,glioma,Tr-gl_1187.jpg,512,512,1,14.1083984375
Training,glioma,Tr-gl_986.jpg,512,512,1,14.2802734375
Training,glioma,Tr-gl_743.jpg,512,512,1,27.82421875
Training,glioma,Tr-gl_1159.jpg,512,512,1,14.56640625
Training,glioma,Tr-gl_827.jpg,512,512,1,14.4462890625
Training,glioma,Tr-gl_516.jpg,512,512,3,28.318359375
Training,glioma,Tr-gl_1057.jpg,512,512,3,25.4091796875
Training,glioma,Tr-gl_1053.jpg,512,512,1,24.435546875
Training,glioma,Tr-gl_1170.jpg,512,512,3,24.3046875
Training,glioma,Tr-gl_1400.jpg,512,512,1,18.90234375
Training,glioma,Tr-gl_167.jpg,512,512,1,21.3369140625
Training,glioma,Tr-gl_67.jpg,512,512,1,17.7646484375
Training,glioma,Tr-gl_848.jpg,512,512,1,17.423828125
Training,glioma,Tr-gl_1047.jpg,512,512,1,19.8466796875
Training,glioma,Tr-gl_773.jpg,512,512,1,14.6767578125
Training,glioma,Tr-gl_1365.jpg,512,512,1,10.8857421875
Training,glioma,Tr-gl_936.jpg,512,512,1,20.64453125
Training,glioma,Tr-gl_511.jpg,512,512,1,21.275390625
Training,glioma,Tr-gl_144.jpg,512,512,1,19.6533203125
Training,glioma,Tr-gl_566.jpg,512,512,1,14.1337890625
Training,glioma,Tr-gl_824.jpg,512,512,3,27.50390625
Training,glioma,Tr-gl_250.jpg,512,512,1,27.6455078125
Training,glioma,Tr-gl_101.jpg,512,512,1,18.0595703125
Training,glioma,Tr-gl_1292.jpg,512,512,1,16.546875
Training,glioma,Tr-gl_517.jpg,512,512,1,16.3798828125
Training,glioma,Tr-gl_365.jpg,512,512,1,14.4453125
Training,glioma,Tr-gl_1285.jpg,512,512,1,21.3984375
Training,glioma,Tr-gl_1395.jpg,512,512,1,22.0712890625
Training,glioma,Tr-gl_359.jpg,512,512,1,21.6953125
Training,glioma,Tr-gl_1169.jpg,512,512,1,18.123046875
Training,glioma,Tr-gl_439.jpg,512,512,1,18.11328125
Training,glioma,Tr-gl_1177.jpg,512,512,1,27.75
Training,glioma,Tr-gl_40.jpg,512,512,3,19.85546875
Training,glioma,Tr-gl_372.jpg,512,512,1,14.818359375
Training,glioma,Tr-gl_851.jpg,512,512,1,24.5419921875
Training,glioma,Tr-gl_225.jpg,512,512,3,19.40625
Training,glioma,Tr-gl_1078.jpg,512,512,3,28.3828125
Training,glioma,Tr-gl_585.jpg,512,512,3,27.947265625
Training,glioma,Tr-gl_727.jpg,512,512,1,15.0908203125
Training,glioma,Tr-gl_1228.jpg,512,512,1,13.5546875
Training,glioma,Tr-gl_436.jpg,512,512,1,14.5126953125
Training,glioma,Tr-gl_1143.jpg,512,512,1,22.94921875
Training,glioma,Tr-gl_756.jpg,512,512,1,19.0166015625
Training,glioma,Tr-gl_279.jpg,512,512,1,20.4326171875
Training,glioma,Tr-gl_898.jpg,512,512,1,21.228515625
Training,glioma,Tr-gl_879.jpg,512,512,1,15.1181640625
Training,glioma,Tr-gl_404.jpg,512,512,1,17.802734375
Training,glioma,Tr-gl_802.jpg,512,512,1,20.19140625
Training,glioma,Tr-gl_1352.jpg,512,512,1,16.9248046875
Training,glioma,Tr-gl_1126.jpg,512,512,1,16.6767578125
Training,glioma,Tr-gl_1082.jpg,512,512,1,14.0283203125
Training,glioma,Tr-gl_958.jpg,512,512,1,25.912109375
Training,glioma,Tr-gl_158.jpg,512,512,1,13.0576171875
Training,glioma,Tr-gl_271.jpg,512,512,1,19.3798828125
Training,glioma,Tr-gl_1145.jpg,512,512,1,17.23828125
Training,glioma,Tr-gl_1184.jpg,512,512,1,19.9560546875
Training,glioma,Tr-gl_574.jpg,512,512,1,17.9150390625
Training,glioma,Tr-gl_91.jpg,512,512,1,19.55859375
Training,glioma,Tr-gl_410.jpg,512,512,1,17.291015625
Training,glioma,Tr-gl_1299.jpg,512,512,1,25.0283203125
Training,glioma,Tr-gl_420.jpg,512,512,3,26.8046875
Training,glioma,Tr-gl_393.jpg,512,512,1,19.4580078125
Training,glioma,Tr-gl_1385.jpg,512,512,1,24.0361328125
Training,glioma,Tr-gl_974.jpg,512,512,1,20.94140625
Training,glioma,Tr-gl_23.jpg,512,512,1,19.9443359375
Training,glioma,Tr-gl_999.jpg,512,512,1,10.8037109375
Training,glioma,Tr-gl_933.jpg,512,512,1,21.041015625
Training,glioma,Tr-gl_113.jpg,512,512,1,19.03515625
Training,glioma,Tr-gl_861.jpg,512,512,3,20.4658203125
Training,glioma,Tr-gl_909.jpg,512,512,1,17.5205078125
Training,glioma,Tr-gl_1313.jpg,512,512,1,21.6162109375
Training,glioma,Tr-gl_722.jpg,512,512,1,16.2578125
Training,glioma,Tr-gl_13.jpg,512,512,1,14.7763671875
Training,glioma,Tr-gl_590.jpg,512,512,1,19.865234375
Training,glioma,Tr-gl_438.jpg,512,512,1,12.2158203125
Training,glioma,Tr-gl_235.jpg,512,512,1,16.560546875
Training,glioma,Tr-gl_918.jpg,512,512,3,25.3740234375
Training,glioma,Tr-gl_765.jpg,512,512,1,21.0712890625
Training,glioma,Tr-gl_142.jpg,512,512,1,18.2255859375
Training,glioma,Tr-gl_336.jpg,512,512,1,17.5986328125
Training,glioma,Tr-gl_1100.jpg,512,512,1,15.0224609375
Training,glioma,Tr-gl_160.jpg,512,512,1,21.029296875
Training,glioma,Tr-gl_32.jpg,512,512,1,15.826171875
Training,glioma,Tr-gl_478.jpg,512,512,1,24.1259765625
