md5,duplicate_of,duplicate_path,split,class
ee6e22476c4f669b43d82fa9f5ab2abf,Testing\glioma\Te-gl_129.jpg,Testing\glioma\Te-gl_303.jpg,Testing,glioma
cfe978f4870cfc42980c522bf749de92,Testing\glioma\Te-gl_140.jpg,Testing\glioma\Te-gl_238.jpg,Testing,glioma
7aec05f6498b98fca1451348adec402c,Testing\glioma\Te-gl_143.jpg,Testing\glioma\Te-gl_72.jpg,Testing,glioma
557074c0f2215c6453fd61461aafc59a,Testing\glioma\Te-gl_144.jpg,Testing\glioma\Te-gl_59.jpg,Testing,glioma
34d3fec0def3da3459c5f1596f059aef,Testing\glioma\Te-gl_166.jpg,Testing\glioma\Te-gl_278.jpg,Testing,glioma
4dc9e3b56a99b7455036ca9247c82817,Testing\glioma\Te-gl_170.jpg,Testing\glioma\Te-gl_178.jpg,Testing,glioma
270039de9ae75d069b6360f6b23c0b8b,Testing\glioma\Te-gl_171.jpg,Testing\glioma\Te-gl_228.jpg,Testing,glioma
61388b0e333fe750b3bd0c7912846625,Testing\glioma\Te-gl_177.jpg,Testing\glioma\Te-gl_36.jpg,Testing,glioma
716882598588e4671a4cb50eadfc5b88,Testing\glioma\Te-gl_204.jpg,Testing\glioma\Te-gl_259.jpg,Testing,glioma
845ff201c07a82cd2356769078f83eae,Testing\glioma\Te-gl_212.jpg,Testing\glioma\Te-gl_272.jpg,Testing,glioma
845ff201c07a82cd2356769078f83eae,Testing\glioma\Te-gl_212.jpg,Testing\glioma\Te-gl_338.jpg,Testing,glioma
caab5859588132c3ebb1fbbfa853e944,Testing\glioma\Te-gl_270.jpg,Testing\glioma\Te-gl_29.jpg,Testing,glioma
f998e6cf91b2d4ae9d464510ba184a4f,Testing\glioma\Te-gl_299.jpg,Testing\glioma\Te-gl_364.jpg,Testing,glioma
252314e70476470af7835cdfd70bac92,Testing\glioma\Te-gl_32.jpg,Testing\glioma\Te-gl_389.jpg,Testing,glioma
698ac9e379771e54f2dd985b1d58f8dd,Testing\meningioma\Te-me_116.jpg,Testing\meningioma\Te-me_235.jpg,Testing,meningioma
784114ee48882bf1b8b7b92a559da83d,Testing\meningioma\Te-me_179.jpg,Testing\meningioma\Te-me_198.jpg,Testing,meningioma
c3aa5bcdbe44fc74833b7bd86b8d076e,Training\meningioma\Tr-aug-me_89.jpg,Training\meningioma\Tr-me_889.jpg,Training,meningioma
ef4efdf1a7f3fb1b9efe30ee40525500,Training\meningioma\Tr-aug-me_90.jpg,Training\meningioma\Tr-me_1242.jpg,Training,meningioma
5ac635ab3e61f1897b1e4188fdc1c3f2,Training\meningioma\Tr-aug-me_91.jpg,Training\meningioma\Tr-me_245.jpg,Training,meningioma
9120f19e559d9f509aa873b5d9b46909,Training\meningioma\Tr-aug-me_92.jpg,Training\meningioma\Tr-me_268.jpg,Training,meningioma
b66d2a622c461b978e51d48171ae2980,Training\meningioma\Tr-aug-me_94.jpg,Training\meningioma\Tr-me_824.jpg,Training,meningioma
9d8e2727154924c2c1f3ff8da042b850,Training\meningioma\Tr-aug-me_95.jpg,Training\meningioma\Tr-me_1295.jpg,Training,meningioma
ceb4361f4ba2f0ee12470a037bc37212,Training\meningioma\Tr-aug-me_97.jpg,Training\meningioma\Tr-me_532.jpg,Training,meningioma
9e7c7e8d5dc30162f8c4f0c6d68aa71f,Training\meningioma\Tr-aug-me_98.jpg,Training\meningioma\Tr-me_1274.jpg,Training,meningioma
832c3e0243e8fafe4313d899e233285d,Training\meningioma\Tr-me_1094.jpg,Training\meningioma\Tr-me_219.jpg,Training,meningioma
a501e6ea3748d3aebea8e8735268ec5b,Training\meningioma\Tr-me_1101.jpg,Training\meningioma\Tr-me_836.jpg,Training,meningioma
af3a4cf5d54bd454b733bfe3d2177b4a,Training\meningioma\Tr-me_339.jpg,Training\meningioma\Tr-me_534.jpg,Training,meningioma
af3a4cf5d54bd454b733bfe3d2177b4a,Training\meningioma\Tr-me_339.jpg,Training\meningioma\Tr-me_86.jpg,Training,meningioma
333ca271271562e025951545e76a8b0b,Training\meningioma\Tr-me_432.jpg,Training\meningioma\Tr-me_561.jpg,Training,meningioma
ab525628d00898aa6b1088d9c1d5a785,Training\meningioma\Tr-me_543.jpg,Training\meningioma\Tr-me_726.jpg,Training,meningioma
71d0f7ccc4fdf4cffccebc64b18c3c9d,Training\notumor\Tr-no_1000.jpg,Training\notumor\Tr-no_105.jpg,Training,notumor
e8cf02f5f074423443117f693bef9a33,Training\notumor\Tr-no_1015.jpg,Training\notumor\Tr-no_1339.jpg,Training,notumor
60e765179ae22c1d69cb6c1233f17354,Training\notumor\Tr-no_1016.jpg,Training\notumor\Tr-no_819.jpg,Training,notumor
30833b6b027eb1ca54cdd37ae88213e6,Training\notumor\Tr-no_1021.jpg,Training\notumor\Tr-no_503.jpg,Training,notumor
5474914546a6267f70286341ef9c9052,Training\notumor\Tr-no_1023.jpg,Training\notumor\Tr-no_400.jpg,Training,notumor
e0e9fee7b1fe0b3a4fc4af3189e2dc1f,Training\notumor\Tr-no_1039.jpg,Training\notumor\Tr-no_1385.jpg,Training,notumor
e0e9fee7b1fe0b3a4fc4af3189e2dc1f,Training\notumor\Tr-no_1039.jpg,Training\notumor\Tr-no_600.jpg,Training,notumor
1e98f507c83df39e1aefd1e4c2724d7d,Training\notumor\Tr-no_1046.jpg,Training\notumor\Tr-no_454.jpg,Training,notumor
78c6f2102e0ba73c47a344d2880b4071,Training\notumor\Tr-no_1051.jpg,Training\notumor\Tr-no_1158.jpg,Training,notumor
78c6f2102e0ba73c47a344d2880b4071,Training\notumor\Tr-no_1051.jpg,Training\notumor\Tr-no_330.jpg,Training,notumor
1f6dfa12ce7c3c884d7e2a5a9b802e65,Training\notumor\Tr-no_1061.jpg,Training\notumor\Tr-no_1134.jpg,Training,notumor
f4b4f54022e5d07d1cfecf6868492299,Training\notumor\Tr-no_1062.jpg,Training\notumor\Tr-no_5.jpg,Training,notumor
f4b4f54022e5d07d1cfecf6868492299,Training\notumor\Tr-no_1062.jpg,Training\notumor\Tr-no_693.jpg,Training,notumor
6b3c032ec42efd24bdeb87534f6ce0bd,Training\notumor\Tr-no_1063.jpg,Training\notumor\Tr-no_864.jpg,Training,notumor
ddc6fd51d45cb3a708c10fb921485ce9,Training\notumor\Tr-no_1070.jpg,Training\notumor\Tr-no_412.jpg,Training,notumor
7c17b4d2dae9f464590fd5ede35aa935,Training\notumor\Tr-no_1077.jpg,Training\notumor\Tr-no_1400.jpg,Training,notumor
25faac854458973ea07975165f80c035,Training\notumor\Tr-no_1079.jpg,Training\notumor\Tr-no_129.jpg,Training,notumor
25faac854458973ea07975165f80c035,Training\notumor\Tr-no_1079.jpg,Training\notumor\Tr-no_62.jpg,Training,notumor
9fc3b080c7fe9c1d3927b877b975b5f1,Training\notumor\Tr-no_1083.jpg,Training\notumor\Tr-no_217.jpg,Training,notumor
7108f7b2a94c8401f13dae47f666b4e1,Training\notumor\Tr-no_1085.jpg,Training\notumor\Tr-no_692.jpg,Training,notumor
7108f7b2a94c8401f13dae47f666b4e1,Training\notumor\Tr-no_1085.jpg,Training\notumor\Tr-no_767.jpg,Training,notumor
7108f7b2a94c8401f13dae47f666b4e1,Training\notumor\Tr-no_1085.jpg,Training\notumor\Tr-no_98.jpg,Training,notumor
d9c32d64bae1e0350522351c6a7cea0b,Training\notumor\Tr-no_109.jpg,Training\notumor\Tr-no_1183.jpg,Training,notumor
d9c32d64bae1e0350522351c6a7cea0b,Training\notumor\Tr-no_109.jpg,Training\notumor\Tr-no_371.jpg,Training,notumor
ebd0a54a7b151a9578e4c27c595caffa,Training\notumor\Tr-no_1095.jpg,Training\notumor\Tr-no_69.jpg,Training,notumor
c2c5423dd557bd3557a8bd8d4f359acf,Training\notumor\Tr-no_1105.jpg,Training\notumor\Tr-no_569.jpg,Training,notumor
4203b88f2ff81d366a5a4a77674314f6,Training\notumor\Tr-no_1109.jpg,Training\notumor\Tr-no_1380.jpg,Training,notumor
24e83deaaae9ab0f15565690e474f5fc,Training\notumor\Tr-no_112.jpg,Training\notumor\Tr-no_1178.jpg,Training,notumor
24e83deaaae9ab0f15565690e474f5fc,Training\notumor\Tr-no_112.jpg,Training\notumor\Tr-no_1265.jpg,Training,notumor
24e83deaaae9ab0f15565690e474f5fc,Training\notumor\Tr-no_112.jpg,Training\notumor\Tr-no_308.jpg,Training,notumor
24e83deaaae9ab0f15565690e474f5fc,Training\notumor\Tr-no_112.jpg,Training\notumor\Tr-no_494.jpg,Training,notumor
b71e64834740e5c0589d52e7145a83f0,Training\notumor\Tr-no_1126.jpg,Training\notumor\Tr-no_564.jpg,Training,notumor
e89ab6994c617c31786bfff5c406d0ab,Training\notumor\Tr-no_1140.jpg,Training\notumor\Tr-no_749.jpg,Training,notumor
e89ab6994c617c31786bfff5c406d0ab,Training\notumor\Tr-no_1140.jpg,Training\notumor\Tr-no_931.jpg,Training,notumor
e450fb2bea94fad366ddebacbe26a4bb,Training\notumor\Tr-no_1145.jpg,Training\notumor\Tr-no_1234.jpg,Training,notumor
e450fb2bea94fad366ddebacbe26a4bb,Training\notumor\Tr-no_1145.jpg,Training\notumor\Tr-no_430.jpg,Training,notumor
d0ba529e618ee5e2e8bf0f44a9a103c3,Training\notumor\Tr-no_115.jpg,Training\notumor\Tr-no_1188.jpg,Training,notumor
1829d716613d6d3022da2f82368071ae,Training\notumor\Tr-no_1154.jpg,Training\notumor\Tr-no_1235.jpg,Training,notumor
1829d716613d6d3022da2f82368071ae,Training\notumor\Tr-no_1154.jpg,Training\notumor\Tr-no_1360.jpg,Training,notumor
